,Rank,Value,Name,Price,Signature,Comments,Tone Grade,Technical Grade,Setup,Status
600,C,,Final Audio F4100,350,"""Balanced""","Unique ""Final single BA"" sound; coloured mids and one-note treble.",C,C+,BA,Jaben SG demo unit
601,C,,Simgot EK3,350,Bright neutral,Technically passable if a little spicy up in the treble.,C,C+,2BA 1DD,Available for demo at The Hangout
602,C,,NocturnaL Gorham,350,V-shaped,"Somewhat well-tuned with no errant peaks or dips, though limited by its resolution.",C+,C,2BA,Treoo demo unit
603,C,,Shozy B2,450,Warm,Bass bleeds into the mids though treble somewhat balances it out.,C+,C,DD,Showfloor demo unit
604,C,,64 Audio A2e,500,V-shaped,"A rather interesting ""V-but-also-not"" signature. Can get a little hot in the treble.",C,C+,2BA,Music Sanctuary demo unit
605,C,,qdc 3SH,500,Warm,Probably the worst-tuned qdc IEM. Noticeable upper-mid scoop results in lacking bite and energy.,C,C+,3BA,Music Sanctuary demo unit
606,C,,NocturnaL Avalon,500,Warm V-shape,"Too warm, too bloated, treble spike doesn't do enough to balance it all out.",C,C+,3BA,Treoo demo unit
607,C,,Clear Tune Monitors CT-200,500,Neutral,Fairly decent neutral tuning if not for the odd roll-off on both extremities.,C+,C,2BA,Jaben SG demo unit
608,C,,Final Audio F7200,550,"""Balanced""","Unique ""Final single BA"" sound; coloured mids and one-note treble.",C,C+,BA,Jaben SG demo unit
609,C,,Custom Art FIBAE 2,550,Warm,Slight downsloping response with a generally platable tonality but uneven treble.,C,C+,2BA,Music Sanctuary demo unit
610,C,,Eartech Quad Driver,600,Warm,Warm and congested presentation. Noticeably coloured and not the most natural.,C,C+,4BA,Music Sanctuary demo unit
611,C,,Horluchs HL4300,700,Mild V-shape,Nothing much to praise or rag on. Average tonality and technicalities.,C,C+,3BA,Third party unit
612,C,,Final Audio Heaven 7,700,Neutral,"Unique ""Final single BA"" sound; coloured mids and one-note treble.",C,C+,BA,Jaben SG demo unit
613,C,,Final Audio B1,750,V-shaped,"The most V-shaped of the B-series. Fatiguing, sharp treble and slightly bloated bass.",C,C+,1BA 1DD,Showfloor demo unit
614,C,,FitEar F/A111,780,Warm neutral,A laid-back take on reference with Suyama's FitEar colouration mixed in,C,C+,BA,Jaben SG demo unit
615,C,,Campfire Jupiter,800,"""Balanced""",Great clarity and staging though with odd upper midrange.,C,C+,4BA,ConnectIT demo unit
616,C,,Shozy Black Hole,800,Bright,Seems to go for a neutral tuning with the bass roll-off but ends up with a fatiguing and sharp presentation.,C,C+,DD,Zeppelin & Co demo unit
617,C,,Kinera Odin,800,Neutral,Sounds like a rather basic tuning and a resolution not fitting of its driver count.,C+,C,8BA,Zeppelin & Co demo unit
618,C,,Kumitate KL-Meteo,850,V-shaped,Very bassy with a lower-mid scoop. A bit of an odd tonal profile all things considered.,C,C+,4BA,Treoo demo unit
619,C,,Custom Art FIBAE 4,900,Warm,"Warm, bordering on bloat. Could use some extra sharpness in its attack to round it off.",C,C+,4BA,Music Sanctuary demo unit
620,C,,NocturnaL Eden,950,Neutral,"A weird take on neutrality. Limp bass, uneven mids, not very resolving.",C,C+,5BA,Treoo demo unit
621,C,,Fatfreq 20.8,950,Warm,,C,C+,8BA,Showfloor demo unit
622,C,,Kumitate KL-Sanka,1200,Warm V-shape,"Kind of a ""nothing IEM"" if I'm honest. Nothing bad nor good to say about it.",C,C+,3BA,Showfloor demo unit
623,C,,LH Stella,1300,Warm U-shaped,"Slightly bloated, odd colouration, not a great hybrid presentation.",C,C+,2BA 1DD,Available for demo at The Hangout
624,C,,Custom Art Harmony 8.2,1300,Warm,Smooth and easy signature. No fatigue whatsoever. The definition of a lounging IEM.,C+,C,8BA,Personal unit
625,C,,HUM Pristine Reference,1400,Warm,Good detail pickup and generally inoffensive. Much better than the universal.,C,C+,2BA,Third party custom
626,C,,AAW Halycon,1450,Variable,A little too sluggish in the bass with fatiguing treble.,C,C+,4EST 2BA 1DD,Zeppelin & Co demo unit
627,C,,BGVP ES12,1500,Variable,Slightly honky midrange tonality with the usual EST tweeter roll-off.,C,C+,4EST 8BA,Oardio demo unit
628,C,,FitEar Aya,1650,Warm,Slight warm tilt in tonality with uneven mids.,C,C+,BA,Jaben SG demo unit
629,C,,Rhapsodio Infinity Mk2,3600,Warm,Nothing exceptional in either tonality or technical performance.,C+,C,6BA,Review loaner
630,C,,1Custom SA02,Discont.,"""Balanced""",Odd take on neutral with a coloured tonality.,C,C+,2BA,Jaben SG demo unit
631,C,,Campfire Orion,Discont.,Warm V-shape,Uneven mids and lacking treble extension.,C,C+,BA,ConnectIT demo unit
632,C,,Final Audio Heaven S,Discont.,Warm V-shape,"Unique ""Final single BA"" sound; coloured mids and one-note treble.",C,C+,BA,Jaben SG demo unit
633,C,,Final Audio LAB 1,Discont.,Warm,"Pretty standard tuning that doesn't live up to its build, pricing or prestige.",C,C+,2BA,Third party unit
634,C,,Stax SR-001 Mk1 w/ CES-A1,Discont.,Neutral,"Sounds surprisingly dull and undetailed for a ""true"" electrostatic.",C+,C,Electrostatic,Third party unit
635,C,,Acoustune HS2000MX “SHO-笙-“,2000,Bright,,D,A,DD,Zeppelin & Co demo unit
636,C,,Moondrop SSR,40,Bright neutral,"Probably as close as one can get to ""true DF"", though it's extremely shouty as a result.",C-,B-,DD,Available for demo at The Hangout
637,C,,KBEar F1,40,Warm neutral,"Fairly normal ""single BA tuning"", nothing exceptional nor terrible.",B-,C-,BA,Available for demo at The Hangout
638,C,,TRI x HBB Kai,80,Dark neutral,,B-,C-,DD,Third party unit
639,C,,INAIR M360,140,V-shaped,A weird cross between an earbud and an IEM. Interesting sound though nothing special performance-wise.,B-,C-,DD,Third party unit
640,C,,Muse HiFi Power,200,Bright V-shape,,C-,B-,Planar,e-Earphone demo unit
641,C,,Hifiman RE2000 Pro,350,V-shaped,,C-,B-,DD,e-Earphone demo unit
642,C,,Fearless S10 Genie,700,Neutral,"Sounds like an attempt at DF-neutral gone wrong. Tonally evokes a sense of ""uncanny valley"".",C-,B-,10BA,Music Sanctuary demo unit
643,C,,Fearless HyperS 12BA,900,Neutral,Similar if not identical to the S10 Genie.,C-,B-,12BA,Music Sanctuary demo unit
644,C,,Stealthsonics U9,1100,Neutral,An otherwise capable hybrid caught out by nasally and odd midrange.,C-,B-,8BA 1DD,Showfloor demo unit
645,C,,Fender Ten 5,1200,Neutral with bass boost,Probably Fender's best IEM. Well-tuned but lacking in resolution.,B-,C-,5BA 1DD,E1 demo unit
646,C,,Campfire Vega,1300,V-shaped,"Powerful bass, sharp treble and muffled midrange.",C-,B-,DD,Zeppelin & Co demo unit
647,C,,JH Audio Angie,1400,Warm V-shape,Somewhat mid-centric though in various strange ways. Treble issues not as serious as its brothers.,C-,B-,8BA,Zeppelin & Co demo unit
648,C,,Empire Ears Phantom,1800,Warm,"Heavy, rich and decadent. Way too coloured and ultimately a one-trick pony.",C-,B-,5BA,Zeppelin & Co demo unit
649,C,,JH Audio x L-Acoustics Contour XO,1950,Variable,"Not as much of a downsloping response as your average JH IEM, but treble issues are further exacerbated.",C-,B-,10BA,ConnectIT demo unit
650,C,,Hifiman RE2000,2000,Mild V-shape,Lively sound with great technicalities and substandard tonality.,C-,B-,DD,A2A Melbourne demo unit
651,C,,JH Audio Layla,2725,Variable,Suppressed upper mids and odd treble tuning. Decent technicalities.,C-,B-,12BA,Jaben Melbourne demo unit
652,C,,FitEar Private C435,Discont.,Dark,Quirky tuning with barely any treble extension. Not the most natural IEM.,C-,B-,5BA,Third party unit
653,C,,VSonic GR01,Discont.,Neutral,Dead-flat on FR and also dead-flat in imaging and dynamics.,B-,C-,2BA,LMUE demo unit
654,C,,Acoustune HS1503,400,V-shaped,"Shrill, odd timbre and way too intense for normal listening.",D+,B,DD,Zeppelin & Co demo unit
655,C,,QKZ AK6,10,V-shaped,,C,C,DD,Third party unit
656,C,,QKZ VK4,20,V-shaped,Stealth-revised. Latest version is just another KZ-type signature.,C,C,DD,Third party unit
657,C,,BLON BL01,23,V-shaped,Generic V-shape tuning with middling technicalities.,C,C,DD,
658,C,,Tiandirenhe TD1,25,V-shaped,Generic V-shaped DD with alright midrange tonality and technicalities.,C,C,DD,Third party unit
659,C,,TFZ Ti Galaxy,30,V-shaped,Generic V-shape tuning with middling technicalities.,C,C,DD,LMUE demo unit
660,C,,Soundmagic E11,40,Mild U-shape,A little suppressed in the upper mids but somewhat balanced out by a midtreble emphasis.,C,C,DD,E1 demo unit
661,C,,BLON BL-Max,40,V-shaped,,C,C,2DD,Available for demo at The Hangout
662,C,,Advanced S2000,50,V-shaped,Generic V-shape tuning with middling technicalities.,C,C,DD,Zeppelin & Co demo unit
663,C,,BGVP DS1 Pro,50,V-shaped,Generic V-shape tuning with middling technicalities.,C,C,2BA 1DD,Available for demo at The Hangout
664,C,,Satolex Tubomi DH298-A1Bk,50,V-shaped,Generic V-shape tuning with middling technicalities.,C,C,DD,Zeppelin & Co demo unit
665,C,,Tripowin TC-01,50,V-shaped,Generic V-shape tuning with middling technicalities.,C,C,DD,Available for demo at The Hangout
666,C,,TRN V90,50,V-shaped,Generic V-shape tuning with middling technicalities.,C,C,4BA 1DD,Third party unit
667,C,,Zero Audio Carbo Basso ZH-DX210-CB,50,V-shaped,Generic V-shape tuning with middling technicalities.,C,C,DD,Zeppelin & Co demo unit
668,C,,Edifier TWS1,50,V-shaped,"Decent bass response, subpar treble, overall passable.",C,C,DD,Third party unit
669,C,,MEE M6 Pro,60,V-shaped,Generic V-shape tuning with middling technicalities.,C,C,DD,E1 demo unit
670,C,,TFZ Exclusive 3,60,V-shaped,Generic V-shape tuning with middling technicalities.,C,C,DD,LMUE demo unit
671,C,,ikko OH2,60,"""Balanced""",,C,C,DD,Available for demo at The Hangout
672,C,,Meze 12 Classics,70,V-shaped,Generic V-shape tuning with middling technicalities.,C,C,DD,AV One demo unit
673,C,,FiiO FD1,70,V-shaped,Generic V-shape tuning with middling technicalities.,C,C,DD,AV One demo unit
674,C,,KBEar TRI I4,70,V-shaped,Generic V-shape tuning with middling technicalities.,C,C,1BA 1DD,Available for demo at The Hangout
675,C,,Whizzer A15,70,Warm U-shape,"Slightly bloated, slightly sharp, not a great combination.",C,C,DD,Zeppelin & Co demo unit
676,C,,CatEar Mia,80,Bassy,Generic V-shape tuning with middling technicalities.,C,C,DD,Available for demo at The Hangout
677,C,,FiiO FH1S,80,V-shaped,Generic V-shape tuning with middling technicalities.,C,C,1BA 1DD,E1 demo unit
678,C,,TFZ 5S,80,V-shaped,"Warm and somewhat slow in transients. Good timbre, average tuning.",C,C,DD,LMUE demo unit
679,C,,BLON BL-A8 Prometheus,85,Warm V-shape,,C,C,DD,Available for demo at The Hangout
680,C,,iBasso IT00,90,V-shaped,Basically a IT01.,C,C,DD,Zeppelin & Co demo unit
681,C,,Simgot EN700,100,Bright V-shape,Good clarity and energetic signature.,C,C,DD,Zeppelin & Co demo unit
682,C,,RHA MA750,100,Mild V-shape,Somewhat shouty with a conservative bass boost.,C,C,DD,Stereo SG demo unit
683,C,,Massdrop x NuForce EDC3,100,Neutral,"Well tuned, though not the most technical nor the most natural sounding.",C,C,3BA,Available for demo at The Hangout
684,C,,RHA TrueConnect,100,U-shaped,Goes too far with the bass boost and treble can get a little too hot sometimes.,C,C,DD,ConnectIT demo unit
685,C,,Satolex Tumuri DH303-A1,100,V-shaped,Generic V-shape tuning with middling technicalities.,C,C,DD,Zeppelin & Co demo unit
686,C,,TFZ King,100,V-shaped,Better tuned than the 5S with a little extra treble which improves clarity and overall staging.,C,C,DD,LMUE demo unit
687,C,,Zero Audio Duoza ZH-DWX10,100,Warm V-shape,A bit too far with the lower-mid emphasis. Some sibilance is noted.,C,C,2DD,Zeppelin & Co demo unit
688,C,,iBasso IT01,110,V-shaped,"Nothing really stands out as ""excellent"" to me, but it does a lot of things well and little wrong.",C,C,DD,Zeppelin & Co demo unit
689,C,,Shuoer H27,110,V-shaped,Generic V-shape tuning with middling technicalities.,C,C,2BA 1DD,Available for demo at The Hangout
690,C,,Tipsy Dunmer,120,Bassy,Bass bleeds into the mids. The bassier of the Dunmer twins.,C,C,DD,Available for demo at The Hangout
691,C,,iBasso IT01X,120,V-shaped,,C,C,DD,Zeppelin & Co demo unit
692,C,,Satolex Tubomi DH302-A1Bs,130,V-shaped,Generic V-shape tuning with middling technicalities.,C,C,DD,Zeppelin & Co demo unit
693,C,,Tin HiFi T5,130,V-shaped,Generic V-shape tuning with middling technicalities.,C,C,DD,Available for demo at The Hangout
694,C,,Kinera IDUN,140,Warm neutral,"WARNING: wide unit variation noted. Varies between ""weird V-shape"" and ""trying to be neutral"".",C,C,2BA 1DD,E1 demo unit
695,C,,LG Tone Free,150,U-shaped,Sub-bass boosted with a slight downsloping bias. Not the worst in terms of TWS.,C,C,DD,Zeppelin & Co demo unit
696,C,,TFZ Tequila 1,150,V-shaped,Generic V-shape tuning with middling technicalities.,C,C,2DD,LMUE demo unit
697,C,,BGVP DMS,150,Warm,Somewhat downsloping response but lacking that last bit of treble air.,C,C,6BA 1DD,Available for demo at The Hangout
698,C,,Fatfreq Musician,150,Warm neutral,,C,C,BA,Showfloor demo unit
699,C,,Nuarl NT01,150,Warm V-shape,Generic V-shaped tuning with not much clarity or detailing capability.,C,C,DD,Oardio demo unit
700,C,,Symphonium Mirage,170,Warm,Attempted neutral tuning that dies after the mids.,C,C,BA,Music Sanctuary demo unit
701,C,,AVIOT TE-D01b/TE-D01d,177,V-shaped,Standard V-shaped siganture with passable transients.,C,C,DD,Zeppelin & Co demo unit
702,C,,Fearless Start,180,V-shaped,"Typical chifi V-shaped sound, nothing much to report on.",C,C,DD,Music Sanctuary demo unit
703,C,,Dynamic Motion DM200H,180,V-shaped,Generic V-shaped hybrid without any special traits.,C,C,1BA 1DD,Third party unit
704,C,,TFZ Secret Garden,200,V-shaped,"Decent bass response and peaky treble, not much to say.",C,C,2DD,LMUE demo unit
705,C,,Tipsy Dunmer Pro,200,Bright V-shape,Rather forward treble and gets intense real fast.,C,C,2BA 1DD,Available for demo at The Hangout
706,C,,Audio Technica ATH-ANC300TW,200,V-shaped,"Weirdly bloated, weirdly sibilant, not the best presentation.",C,C,DD,Zeppelin & Co demo unit
707,C,,Peacock Audio P1,200,V-shaped,Generic V-shape tuning with middling technicalities.,C,C,DD,Available for demo at The Hangout
708,C,,RHA T20i,200,V-shaped,Generic V-shape tuning with middling technicalities.,C,C,DD,Stereo SG demo unit
709,C,,Satolex Tubomi DH310-A1SS,200,V-shaped,Generic V-shape tuning with middling technicalities.,C,C,DD,Zeppelin & Co demo unit
710,C,,TFZ Balance 2M,200,V-shaped,Generic V-shape tuning with middling technicalities.,C,C,DD,LMUE demo unit
711,C,,Campfire Satsuma,200,Warm,Basically a rehashed Comet in a negative profile fit.,C,C,BA,ConnectIT demo unit
712,C,,Campfire Comet,200,Warm,"Rolled-off at the top end, warm and bassy single-BA sound reminiscent of Final's offerings.",C,C,BA,Zeppelin & Co demo unit
713,C,,NF Audio NF2u,200,Warm neutral,"Fairly balanced tonality, lacking treble extension and resolution.",C,C,2BA,Available for demo at The Hangout
714,C,,MEE Pinnacle P1,200,Warm V-shape,"Upper midrange emphasis with soft, warm bass. Nice for mainstream listening.",C,C,DD,Zeppelin & Co demo unit
715,C,,Unknown Custom UCD-2,220,Warm V-shape,A common 2-driver signature with passable resolution.,C,C,2BA,E1 demo unit
716,C,,Technics EAH-AZ70W,250,U-shaped,"Sounds a bit all over the place. Weird lower-mid hole, sharp treble, no clear direction of what's going on.",C,C,DD,Zeppelin & Co demo unit
717,C,,Stealthsonics U2,250,V-shaped,"Sharp, emphasised treble and boosted bass, sounds more mainstream than audiophile.",C,C,1BA 1DD,Showfloor demo unit
718,C,,Creative Aurvana Trio,250,Warm,"Surprising lack of BA timbre, but still rather average in technicalities.",C,C,3BA,ConnectIT demo unit
719,C,,AAW A3H (2019),290,V-shaped,Emphasised midbass and upper mids. Generic hybrid.,C,C,2BA 1DD,Music Sanctuary demo unit
720,C,,TRN BAX,300,V-shaped,,C,C,1EST 1BA 1DD,Available for demo at The Hangout
721,C,,Audiosense T800,300,V-shaped,Generic tuning that's nothing special in terms of tonal accuracy nor technicalities.,C,C,8BA,Treoo demo unit
722,C,,Sony XBA-300,300,V-shaped,Generic V-shape tuning with middling technicalities.,C,C,3BA,Third party unit
723,C,,Oriveti New Primacy,300,Warm neutral,"Rather balanced, almost neutral hybrid. All rounder.",C,C,2BA 1DD,Jaben Melbourne demo unit
724,C,,Kinera Hodur,300,V-shaped,,C,C,1EST 1BA 1DD,e-Earphone demo unit
725,C,,Rose BR5 Mk2,305,Neutral,"Not a bad IEM, though plagued by BA timbre. Not the most technical but it does the job when called for it.",C,C,5BA,Third party unit
726,C,,Alclair Versa,350,Warm V-shape,No further comments; fairly standard warm-ish signature with middling technicalities.,C,C,2BA,Ear.Inc demo unit
727,C,,JVC HA-FW01,380,Dark,Very heavy and very dark sounding IEM whose signature marrs technical ability slightly.,C,C,DD,Zeppelin & Co demo unit
728,C,,Fearless Tequila,400,Neutral,"Low dynamics, no treble extension, boring tuning.",C,C,6BA 1DD,Available for demo at The Hangout
729,C,,QoA Mojito,400,Neutral,"Average tuning, average technicalities.",C,C,6BA,Available for demo at The Hangout
730,C,,Audio Technica ATH-E70,400,Neutral with bass boost,Clean and clear sound with a slight warm tilt without losing treble sparkle.,C,C,3BA,Jaben Melbourne demo unit
731,C,,Elysian Eros,400,Warm,"Typical ""dual driver"" sound. Not very impressive.",C,C,2BA,Showfloor demo unit
732,C,,Eartech Triple Driver,450,Warm,Standard lower-mid focused signature with almost the bare minimum of treble required to balance it all out.,C,C,3BA,Music Sanctuary demo unit
733,C,,Azla 01R Mk2,500,V-shaped,Generic V-shape tuning with middling technicalities.,C,C,DD,Third party unit
734,C,,Noble Savanna,500,Bright neutral,Fairly balanced tuning if not for a rather distracting treble spike.,C,C,4BA,Stereo SG demo unit
735,C,,Jomo x Pantheon Percussion P3,500,V-shaped,Generic V-shape tuning with middling technicalities.,C,C,2BA 1DD,Available for demo at The Hangout
736,C,,JH Michelle,500,Warm,"Still sounds typically ""JH"" with a slightly V tuning, with slower transients and a non-fatiguing signature.",C,C,3BA,Zeppelin & Co demo unit
737,C,,Campfire Lyra II,700,V-shaped,Campfire's take on a V-shaped dynamic sound. Wouldn't call it exceptional.,C,C,DD,Zeppelin & Co demo unit
738,C,,Empire Ears Bravado Mk2,800,Bassy,Very recessed and unfocused mids with poor bass control.,C,C,2EST 1BA 1DD,Zeppelin & Co demo unit
739,C,,ACS Encore,1130,Neutral,,C,C,3BA,Jaben SG demo unit
740,C,,FitEar Air 2/Titan,1700,Warm V-shape,Generic hybrid sound. Doesn't really perform up to par either.,C,C,1BA 1DD,Jaben SG demo unit
741,C,,Fostex TE100,1800,Warm neutral,A little boring and dead in dynamics. Not fun but not really reference either. Average.,C,C,1BA 1DD,Zeppelin & Co demo unit
742,C,,FitEar Air 2,2050,Warm V-shape,Similar if not identical to the FitEar Titan.,C,C,1BA 1DD,Jaben SG demo unit
743,C,,Noble Sultan,2900,V-shaped,"Somewhat generic tuning, poor technicalities, lacking treble extension, overpriced.",C,C,2EST 4BA 1DD,Stereo SG demo unit
744,C,,Onkyo E900,Discont.,V-shaped,"Sharp and fatiguing, needs a bit more refinement up top.",C,C,2BA 1DD,Zeppelin & Co demo unit
745,C,,Kinera IDUN Deluxe,Discont.,Neutral,"Doesn't sound too different from the original, though it depends on which unit you get...",C,C,2BA 1DD,Third party unit
746,C,,Atomic Floyd SuperDarts,Discont.,U-shaped,Focused and sharp treble response with a fairly well-controlled bass response.,C,C,1BA 1DD,Third party unit
747,C,,"Ultimate Ears Triple Fi 10 ""TF10""",Discont.,Warm,Decent tonality and timbre. Not as detailed as the new kids on the block but has the fundamentals down.,C,C,3BA,Personal unit
748,C,,Custom Art Ei.3,Discont.,Mild V-shape,"Oddly tuned upper mids, underwhelming detailing, mediocre imaging.",C,C,3BA,Music Sanctuary demo unit
749,C,,AAW W100,Discont.,V-shaped,"Bassy and has that typical ""chifi DD"" sound.",C,C,DD,Jaben SG demo unit
750,C,,Earsonics SM3,Discont.,Warm,"Non-fatiguing, relaxing listen. ""Normal"".",C,C,3BA,AV One demo unit
751,C,,Sony XBA-40,Discont.,V-shaped,General downsloping response with an odd upper midrange tuning.,C,C,4BA,Third party unit
752,C-,,Tin HiFI T1,36,Warm,Could use some more high frequency response. Seems like squandered potential.,C+,C-,DD,Oardio demo unit
753,C-,,Advanced M4,40,V-shaped,Generic V-shape tuning with middling technicalities.,C+,C-,DD,Zeppelin & Co demo unit
754,C-,,KBEar Neon,50,Neutral,,C+,C-,BA,Available for demo at The Hangout
755,C-,,Lypertek PurePlay Z7,90,"""Balanced""",,C-,C+,2BA 1DD,Available for demo at The Hangout
756,C-,,Alpha&Delta D6,95,Bright,Well balanced bright response. Good detail and doesn't sound odd in any place.,C+,C-,DD,Available for demo at The Hangout
757,C-,,AZLA Orta,130,V-shaped,"Uneven mids, peaky treble, not a great listen.",C-,C+,DD,Zeppelin & Co demo unit
758,C-,,Gold Planar GL20,150,Warm,"The usual ""open-backed planar IEM"" sound of ""wonk"".",D-,A+,Planar,Third party unit
759,C-,,Tin HiFi P1,170,Warm neutral,"One of the rare few IEM-style planars with proper tonal balance without EQ, but lacking detail retrieval.",C+,C-,Planar,Available for demo at The Hangout
760,C-,,Jabra Elite 75t,180,U-shaped,"Overdone sub-bass response, sharp treble, thin midrange.",C-,C+,DD,ConnectIT demo unit
761,C-,,BGVP DM6,200,Warm V-shape,"Warm tilt in tone, decent detail retrieval though definition is a little too smoothed over.",C-,C+,5BA,Third party unit
762,C-,,FiiO FA7,300,Warm,"Boring, overly warm tuning that lacks detailing.",C-,C+,4BA,ConnectIT demo unit
763,C-,,Earsonics ES3,400,U-shaped,"Typical Earsonics weirdness, though bass is well-controlled.",C-,C+,3BA,Zeppelin & Co demo unit
764,C-,,Audio Technica ATH-IM03,450,Warm V-shape,Decently technical but ruined by its sibilant treble.,C-,C+,3BA,Stereo SG demo unit
765,C-,,HUM TT,500,Neutral,A misguided attempt at neutrality with virtually no treble extension.,C+,C-,2BA,Zeppelin & Co demo unit
766,C-,,InEar StageDiver SD-4,600,Warm V-shape,Needs more upper mids. Weird tonality caused by a mid-scoop.,C-,C+,4BA,Music Sanctuary demo unit
767,C-,,Ultimate Ears UE5 Pro,600,Warm,"Dead dynamics, overly warm and congested.",C+,C-,2BA,Jaben SG demo unit
768,C-,,Shozy Black Hole Mini,650,Warm V-shape,"The bass roll-off issue of the original is somewhat fixed, though at the cost of everything else.",C-,C+,DD,Available for demo at The Hangout
769,C-,,Final Audio Heaven 8,700,Warm,"Unique ""Final single BA"" sound; coloured mids, one-note treble and a more downsloping response.",C-,C+,BA,Third party unit
770,C-,,Noble Dulce Bass,700,Warm V-shape,A little bloated with the barest amount of treble required to balance the lower mids out.,C-,C+,5BA,Stereo SG demo unit
771,C-,,Eternal Melody EM-5H,750,Dark,Just a worse EM-5 in every way. Odd midrange and no treble extension to speak of.,C-,C+,5BA,Music Sanctuary demo unit
772,C-,,FitEar EST,1300,Warm,"Smooth and relaxing listen, though definition is not its strong suit.",C+,C-,1EST 1BA,Jaben SG demo unit
773,C-,,Tralucent 1 Plus 2.3,2100,Warm V-shape,"Bloated, oddly recessed mids, and not all that technical either.",C-,C+,2BA 1DD,Jaben SG demo unit
774,C-,,MMR Thummim,4500,V-shaped,"More resolving than the Homunculus, but also comes with bass bloat.",C-,C+,4EST 4BA 1DD,ConnectIT demo unit
775,C-,,VSonic VC02,Discont.,Warm U-shape,Severe upper-mid depression with sibilant treble.,C-,C+,DD,LMUE demo unit
776,C-,,Acoustune HS1003,Discont.,V-shaped,"Intensely V-shaped resulting in thinned-out, recessed mids.",C-,C+,DD,Zeppelin & Co demo unit
777,C-,,Final Audio FI-DO6SS ANT20,Discont.,Warm,"Unique ""Final single BA"" sound; coloured mids, one-note treble and a more downsloping response.",C-,C+,BA,Jaben SG demo unit
778,C-,,Eternal Melody EM-6W,?,Warm,A slight improvement over the EM-6 but still has issues with mid-bass bloat.,C-,C+,6BA,Zeppelin & Co demo unit
779,C-,,Westone W80,1500,Warm neutral,"Nicely balanced, intimate and slightly dry. Perhaps the least Westone-sounding Westone.",D,B+,8BA,A2A Melbourne demo unit
780,C-,,Tipsy Aurora,80,Warm neutral,"Very well-tuned, but not technical at all.",B-,D+,BA,Available for demo at The Hangout
781,C-,,Meze Rai Solo,200,V-shaped,Very wonky upper-midrange tuning that's also shouty at the same time.,D+,B-,DD,E1 demo unit
782,C-,,Custom Art FIBAE 3,625,Mid-centric,"A clarity-focused IEM. Weak in staging, perhaps too thin on the note weight.",D+,B-,3BA,Available for demo at The Hangout
783,C-,,Earsonics Velvet,850,U-shaped,Lower-mid recession pushed too far with your usual Earsonics weirdness.,D+,B-,3BA,Zeppelin & Co demo unit
784,C-,,FitEar Private 223,1030,Bright,Sharp and fatiguing presentation. Treble really needs taming in this one.,D+,B-,3BA,Jaben SG demo unit
785,C-,,FitEar Private 222,1050,Bright V-shape,"Sharp, almost piercing treble with surprisingly little air extension.",D+,B-,2BA,Jaben SG demo unit
786,C-,,Dita Truth Brass,Discont.,Warm V-shape,"Very nice tonal characteristics with good bass, though nothing special technically.",D+,B-,DD,Zeppelin & Co demo unit
787,C-,,Acoustune HS1001,Discont.,V-shaped,"Very very deep V-shape resulting in recessed mids, bloated bass and piercing highs.",D+,B-,DD,Zeppelin & Co demo unit
788,C-,,JH Audio Lola,1600,Variable,Noticeable upper-mid recession and seems to work only with distortion guitars. Everything else is a wash.,D,B,6BA 2DD,AV One demo unit
789,C-,,EarWerkz Legend Omega,Discont.,Warm,Tuning that is really a product of its time. Does not hold up well today.,D,B,8BA,Third party unit
790,C-,,QKZ ZXN,10,V-shaped,,C,C-,DD,Available for demo at The Hangout
791,C-,,QKZ ZXD,20,V-shaped,,C,C-,DD,Available for demo at The Hangout
792,C-,,Kinera SIF,30,V-shaped,Bloated bass with sharp and sibilant treble.,C-,C,DD,E1 demo unit
793,C-,,Qudelix Qx-over,30,Bassy,,C,C-,2DD,Available for demo at The Hangout
794,C-,,Tin HiFi T1 Plus,30,V-shaped,Generic V-shape tuning with middling technicalities.,C,C-,DD,
795,C-,,Kinera BD005 Pro,60,Mild U-shape,Far better balanced in tonality than the original. Could use more damping the treble though.,C,C-,1BA 1DD,ConnectIT demo unit
796,C-,,TRN BA5,70,V-shaped,"Low resolution, passable tonality.",C,C-,5BA,Third party unit
797,C-,,Advanced M3,80,Bassy,Too much bass results in heavy tonal imbalance. Not great for timbre sticklers.,C,C-,DD,Zeppelin & Co demo unit
798,C-,,Heygears Anora,80,Neutral with laid-back treble,"Very good tuning, well-balanced signature.",C,C-,BA,LMUE demo unit
799,C-,,BGVP Q2,100,Bright neutral,"Poor bass, thin notes, shouty midrange and sharp treble.",C,C-,2BA,Available for demo at The Hangout
800,C-,,Sennheiser IE40 Pro,100,Neutral,An odd take on a balanced signature that sounds dead and lifeless.,C,C-,DD,ConnectIT demo unit
801,C-,,Grado iGe,100,U-shaped,Generally mid-scooped with emphases in sub-bass and mid-treble.,C,C-,DD,Jaben SG demo unit
802,C-,,Tin HiFi T2000,110,V-shaped,"Pretty standard chifi V-shaped sound, nothing special.",C,C-,2DD,Available for demo at The Hangout
803,C-,,Shanling ME100,120,V-shaped,"An odd take on the typical ""chifi DD"" sound, rolling off the bass for extra clarity at the expense of tonality.",C-,C,DD,Available for demo at The Hangout
804,C-,,W+G T2,130,Bright V-shape,,C-,C,DD,Available for demo at The Hangout
